,index,tweet,humor,prejudice_woman,prejudice_lgbtiq,prejudice_inmigrant_race,gordofobia,mean_prejudice
0,32261,"MENTION La primera vez podría tomarse como que se expresó como el culo, pero con esto ya quedó claro que esa tipa es una enferma. Y la gentuza que la defiende es igual de enferma que ella",0,1,0,0,0,1.8
1,67362,¿Por qué Ricky Martin tardó tanto en salir del closet? -Porque no sabía que blusa ponerse,1,0,1,0,0,2.4
2,9818,"Van a cambiar las señales, porque un niño cogiendo la niña de la mano y tirando de ella, es machista y esto que es? URL",0,1,0,0,0,2.0
3,4920,En que se parece una sirena y un transexual? En que los dos son mujeres con cola.,1,0,1,0,0,3.8
4,13205,"La  pelotuda esta MENTION comenzó todo ahora cualquier loca pobre con problemas psicológicos se tiran a chicos inocentes para sacarle algo de dinero como se puede ver 
el VIDEO que el FEMINISMO NO quiere que VEAS😐[FINAL INESPERADO]⚠️ URL vía MENTION",0,1,0,0,0,2.4
5,36280,"jo: i diumenge potser quedo amb un amic...
el meu avi: i amigues quan? com anem? que aquí no volem mariconades, eh

qui li diu
qui li diu que m'agrada l'amic en qüestió",0,0,1,0,0,2.6
6,91634,MENTION Otra vez este travesti báñate piojoso.,0,0,1,0,0,3.2
7,29068,"Me hace reflexionar sobre el rol de género que en un programa de radio  de fútbol se publiciten herramientas para bricolaje. ¿Si hicieran un programa sobre gimnasia rítmica, se anunciarían fregonas?",0,1,0,0,0,3.0
8,33282,"Oye que ya sé que no son horas pero que resulta que la polémica del día es: Que las mujeres que vuelven a casa borrachas lleguen sin que les maten ni violen ¿A favor o en contra?
Y he pensado que ya está bien de que existan los gilipollas, no? Vamos, un planteamiento que hago",0,1,0,0,0,2.8
9,79213,Yo me he echado perfume de chica y ahora todo me molesta.,1,1,0,0,0,3.2
10,42392,pq los chicos más guapos son gays?,0,0,1,0,0,1.4
11,21301,"MENTION MENTION No es jueza.

Es una abogada feminazi socialista.",0,1,0,0,0,3.2
12,45228,C. H. I. N. O. S: [C]omunidad de [H]umanos [I]dénticos [N]ormalmente con [O]jos [S]emicerrados.,1,0,0,1,0,3.2
13,19815,"Me acaban de informar de que las tropas españolas en el frente de guerra están siendo brutalmente ofendidas por actitudes machistas y patriarcales por parte del ejército ruso.

Es una vergüenza que esto siga pasando en pleno siglo XXI 😡",1,1,0,0,0,2.6
14,18263,Que sale cuando procrean un negro y un pulpo? Ni puta idea pero seguro que recoje algodon que flipas.,1,0,0,1,0,3.6
15,45246,¿Por qué todos los judíos tendrían que llamarse Isaac?... porque nacen... y zaaak!  Shana Tova    HASHTAG    HASHTAG  ,1,0,0,1,0,3.8
16,17510,"Cuando entras a un establecimiento y el termómetro digital dice que tienes algunos grados de transexualidad :v
 trans   URL",1,0,1,0,0,3.0
